ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,61.2,105,7.64,53.56
AL-003,Baldwin County,Alabama,64.56,83,2.6,61.96
AL-005,Barbour County,Alabama,57.68,94,5.37,52.31
AL-007,Bibb County,Alabama,59.58,96,4.31,55.27
AL-009,Blount County,Alabama,59.41,89,3.76,55.65
AL-011,Bullock County,Alabama,58.69,98,6.62,52.07
AL-013,Butler County,Alabama,58.12,81,2.4,55.72
AL-015,Calhoun County,Alabama,60.97,107,7.56,53.41
AL-017,Chambers County,Alabama,58.84,95,5.52,53.32
AL-019,Cherokee County,Alabama,56.13,77,2.55,53.58
AL-021,Chilton County,Alabama,61.06,103,6.8,54.26
AL-023,Choctaw County,Alabama,54.26,57,-2.61,56.87
AL-025,Clarke County,Alabama,54.71,51,-3.22,57.93
AL-027,Clay County,Alabama,63.81,106,7.94,55.87
AL-029,Cleburne County,Alabama,63.25,114,9.29,53.96
AL-031,Coffee County,Alabama,56.4,67,0.18,56.22
AL-033,Colbert County,Alabama,62.26,104,8.67,53.59
AL-035,Conecuh County,Alabama,60.55,78,2.52,58.03
AL-037,Coosa County,Alabama,62.13,104,7.45,54.68
AL-039,Covington County,Alabama,55.51,53,-3.15,58.66
AL-041,Crenshaw County,Alabama,60.35,93,4.98,55.37
AL-043,Cullman County,Alabama,64.6,108,8.43,56.17
AL-045,Dale County,Alabama,52.58,51,-1.84,54.42
AL-047,Dallas County,Alabama,55.86,86,3.01,52.85
AL-049,DeKalb County,Alabama,58.83,78,3.32,55.51
AL-051,Elmore County,Alabama,64.63,119,11.15,53.48
AL-053,Escambia County,Alabama,59.36,61,-1.11,60.47
AL-055,Etowah County,Alabama,55.78,72,1.29,54.49
AL-057,Fayette County,Alabama,69.31,116,12.99,56.32
AL-059,Franklin County,Alabama,62.16,95,7.4,54.76
AL-061,Geneva County,Alabama,51.99,37,-5.24,57.23
AL-063,Greene County,Alabama,61.99,113,9.01,52.98
AL-065,Hale County,Alabama,57.7,90,3.93,53.77
AL-067,Henry County,Alabama,50.66,46,-2.69,53.35
AL-069,Houston County,Alabama,51.55,46,-2.62,54.17
AL-071,Jackson County,Alabama,59.07,86,4.31,54.76
AL-073,Jefferson County,Alabama,59.39,87,3.78,55.61
AL-075,Lamar County,Alabama,62.45,101,7.45,55
AL-077,Lauderdale County,Alabama,59,90,4.97,54.03
AL-079,Lawrence County,Alabama,59.26,90,5.8,53.46
AL-081,Lee County,Alabama,59.4,102,7.1,52.3
AL-083,Limestone County,Alabama,57.26,86,3.49,53.77
AL-085,Lowndes County,Alabama,57.37,94,4.99,52.38
AL-087,Macon County,Alabama,58.58,96,6.85,51.73
AL-089,Madison County,Alabama,59.5,95,5.11,54.39
AL-091,Marengo County,Alabama,51.79,51,-2.42,54.21
AL-093,Marion County,Alabama,60.37,87,4.72,55.65
AL-095,Marshall County,Alabama,59.59,94,5.16,54.43
AL-097,Mobile County,Alabama,66.27,86,3.71,62.56
AL-099,Monroe County,Alabama,58.07,68,0.8,57.27
AL-101,Montgomery County,Alabama,60.67,109,8.53,52.14
AL-103,Morgan County,Alabama,59.76,98,5.75,54.01
AL-105,Perry County,Alabama,54.56,74,0.91,53.65
AL-107,Pickens County,Alabama,63.1,107,9.67,53.43
AL-109,Pike County,Alabama,62.02,105,7.63,54.39
AL-111,Randolph County,Alabama,61.84,105,7.14,54.7
AL-113,Russell County,Alabama,56,96,6.14,49.86
AL-115,St. Clair County,Alabama,58.7,85,3.51,55.19
AL-117,Shelby County,Alabama,59.96,91,5,54.96
AL-119,Sumter County,Alabama,56.44,80,2.32,54.12
AL-121,Talladega County,Alabama,61.17,100,7.41,53.76
AL-123,Tallapoosa County,Alabama,60.51,101,6.26,54.25
AL-125,Tuscaloosa County,Alabama,61.59,103,6.13,55.46
AL-127,Walker County,Alabama,63.31,102,6.7,56.61
AL-129,Washington County,Alabama,55.73,44,-3.99,59.72
AL-131,Wilcox County,Alabama,54.91,71,0.61,54.3
AL-133,Winston County,Alabama,63.73,102,7.23,56.5
AZ-001,Apache County,Arizona,8.23,10,-5.2,13.43
AZ-003,Cochise County,Arizona,7.6,4,-6.97,14.57
AZ-005,Coconino County,Arizona,8.59,10,-4.97,13.56
AZ-007,Gila County,Arizona,10.66,5,-10.02,20.68
AZ-009,Graham County,Arizona,7.2,2,-7.99,15.19
AZ-011,Greenlee County,Arizona,8.18,2,-8.56,16.74
AZ-012,La Paz County,Arizona,1.73,4,-4.23,5.96
AZ-013,Maricopa County,Arizona,3.32,3,-5.92,9.24
AZ-015,Mohave County,Arizona,5.06,8,-5.49,10.55
AZ-017,Navajo County,Arizona,7.12,8,-5.21,12.33
AZ-019,Pima County,Arizona,5.87,3,-6.58,12.45
AZ-021,Pinal County,Arizona,5.9,2,-6.6,12.5
AZ-023,Santa Cruz County,Arizona,9.91,3,-8.45,18.36
