ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,66.2,125,2.3,63.9
AL-003,Baldwin County,Alabama,69.3,129,2.5,66.8
AL-005,Barbour County,Alabama,66.7,126,1.9,64.8
AL-007,Bibb County,Alabama,64.9,125,2.1,62.8
AL-009,Blount County,Alabama,62.8,119,2.2,60.6
AL-011,Bullock County,Alabama,66.2,125,2,64.1
AL-013,Butler County,Alabama,67,126,2.4,64.6
AL-015,Calhoun County,Alabama,63.1,121,2.1,61
AL-017,Chambers County,Alabama,63.6,121,2.1,61.6
AL-019,Cherokee County,Alabama,62.1,116,1.5,60.6
AL-021,Chilton County,Alabama,65,126,2.2,62.7
AL-023,Choctaw County,Alabama,67.2,129,2.7,64.5
AL-025,Clarke County,Alabama,67.6,129,2.7,64.9
AL-027,Clay County,Alabama,62.8,123,2.1,60.7
AL-029,Cleburne County,Alabama,62.2,122,2.3,59.9
AL-031,Coffee County,Alabama,67.5,126,2.1,65.4
AL-033,Colbert County,Alabama,62.5,128,2.6,59.9
AL-035,Conecuh County,Alabama,67.5,124,2.1,65.4
AL-037,Coosa County,Alabama,64.3,125,2,62.3
AL-039,Covington County,Alabama,67.6,125,2.1,65.6
AL-041,Crenshaw County,Alabama,66.7,125,2.3,64.4
AL-043,Cullman County,Alabama,62.5,121,2.2,60.3
AL-045,Dale County,Alabama,67.6,126,1.9,65.7
AL-047,Dallas County,Alabama,67.1,129,2.8,64.3
AL-049,DeKalb County,Alabama,60.4,106,1.1,59.3
AL-051,Elmore County,Alabama,65.6,122,1.8,63.8
AL-053,Escambia County,Alabama,67.9,123,1.9,66
AL-055,Etowah County,Alabama,62.8,120,1.9,60.9
AL-057,Fayette County,Alabama,64.2,127,2.2,62
AL-059,Franklin County,Alabama,62.3,128,2.3,59.9
AL-061,Geneva County,Alabama,68,125,1.9,66.1
AL-063,Greene County,Alabama,65.8,123,1.9,63.9
AL-065,Hale County,Alabama,65.7,124,2,63.7
AL-067,Henry County,Alabama,67.6,125,1.9,65.7
AL-069,Houston County,Alabama,68.4,125,1.9,66.5
AL-071,Jackson County,Alabama,60.9,119,1.4,59.4
AL-073,Jefferson County,Alabama,64.2,125,2.4,61.8
AL-075,Lamar County,Alabama,64.5,127,2.4,62.1
AL-077,Lauderdale County,Alabama,62.2,128,2.7,59.5
AL-079,Lawrence County,Alabama,62.2,127,2.1,60.1
AL-081,Lee County,Alabama,65,123,2,63
AL-083,Limestone County,Alabama,62.2,126,2.3,59.9
AL-085,Lowndes County,Alabama,67.1,126,2.5,64.6
AL-087,Macon County,Alabama,66,123,1.9,64
AL-089,Madison County,Alabama,62.2,125,2.3,59.9
AL-091,Marengo County,Alabama,66.8,128,2.5,64.3
AL-093,Marion County,Alabama,63.1,128,2.3,60.8
AL-095,Marshall County,Alabama,62.4,123,2.1,60.3
AL-097,Mobile County,Alabama,69.3,129,2.8,66.4
AL-099,Monroe County,Alabama,67.6,127,2.5,65.1
AL-101,Montgomery County,Alabama,66.4,120,1.9,64.5
AL-103,Morgan County,Alabama,62.6,126,2.3,60.2
AL-105,Perry County,Alabama,65.9,128,2.3,63.6
AL-107,Pickens County,Alabama,65.2,125,2.1,63.1
AL-109,Pike County,Alabama,66.8,125,2.1,64.7
AL-111,Randolph County,Alabama,63,126,2.5,60.5
AL-113,Russell County,Alabama,66.2,123,1.9,64.2
AL-115,St. Clair County,Alabama,63.3,120,2.1,61.2
AL-117,Shelby County,Alabama,64.4,125,2.3,62
AL-119,Sumter County,Alabama,66.3,128,2.3,64
AL-121,Talladega County,Alabama,64,124,2.2,61.8
AL-123,Tallapoosa County,Alabama,63.9,122,1.8,62.2
AL-125,Tuscaloosa County,Alabama,64.9,124,1.8,63.1
AL-127,Walker County,Alabama,63.8,125,2.2,61.6
AL-129,Washington County,Alabama,68,129,2.6,65.4
AL-131,Wilcox County,Alabama,67.5,129,2.7,64.7
AL-133,Winston County,Alabama,62.3,126,2.1,60.2
AZ-001,Apache County,Arizona,52.3,125,2.5,49.8
AZ-003,Cochise County,Arizona,63.5,129,3.1,60.3
AZ-005,Coconino County,Arizona,55.3,129,3.5,51.7
AZ-007,Gila County,Arizona,62,127,3.5,58.5
AZ-009,Graham County,Arizona,63.8,129,3.5,60.2
AZ-011,Greenlee County,Arizona,59,128,3.2,55.8
AZ-012,La Paz County,Arizona,74.2,130,3.9,70.3
AZ-013,Maricopa County,Arizona,73,128,3.8,69.2
AZ-015,Mohave County,Arizona,65.3,130,3.9,61.4
AZ-017,Navajo County,Arizona,54.5,129,3.4,51.2
AZ-019,Pima County,Arizona,70.2,129,3.7,66.5
AZ-021,Pinal County,Arizona,71.2,128,3.5,67.7
AZ-023,Santa Cruz County,Arizona,62.9,128,3,59.9
AZ-025,Yavapai County,Arizona,62.1,129,3.9,58.2
AZ-027,Yuma County,Arizona,74.7,129,3.8,70.9
AR-001,Arkansas County,Arkansas,64.6,125,2.4,62.1
AR-003,Ashley County,Arkansas,66,127,2.8,63.2
AR-005,Baxter County,Arkansas,59.1,121,2,57.1
AR-007,Benton County,Arkansas,59.6,124,2.3,57.3
AR-009,Boone County,Arkansas,59,124,2.2,56.8
AR-011,Bradley County,Arkansas,65.6,129,2.9,62.7
AR-013,Calhoun County,Arkansas,65,126,2.3,62.7
AR-015,Carroll County,Arkansas,58.9,121,2,56.9
AR-017,Chicot County,Arkansas,66,124,2.5,63.5
AR-019,Clark County,Arkansas,63.9,119,1.7,62.1
AR-021,Clay County,Arkansas,60.9,126,2.2,58.7
AR-023,Cleburne County,Arkansas,60.8,120,2,58.9
AR-025,Cleveland County,Arkansas,64.6,126,2.3,62.3
AR-027,Columbia County,Arkansas,65.2,121,1.8,63.4
AR-029,Conway County,Arkansas,62.2,122,2,60.2
AR-031,Craighead County,Arkansas,61.7,123,2.2,59.5
AR-033,Crawford County,Arkansas,61.9,125,2.6,59.3
AR-035,Crittenden County,Arkansas,63.3,123,2.1,61.3
AR-037,Cross County,Arkansas,62.6,119,1.8,60.8
AR-039,Dallas County,Arkansas,63.9,119,1.7,62.2
AR-041,Desha County,Arkansas,65,124,2.3,62.7
AR-043,Drew County,Arkansas,65.5,127,2.8,62.8
AR-045,Faulkner County,Arkansas,62.1,118,1.6,60.5
AR-047,Franklin County,Arkansas,61.7,126,2.4,59.2
AR-049,Fulton County,Arkansas,59.1,124,2.5,56.6
AR-051,Garland County,Arkansas,63.1,125,2.3,60.8
AR-053,Grant County,Arkansas,63.6,114,1.5,62.1
AR-055,Greene County,Arkansas,61.2,125,2.2,59
AR-057,Hempstead County,Arkansas,64.3,120,1.7,62.6
AR-059,Hot Spring County,Arkansas,63.6,120,1.8,61.7
AR-061,Howard County,Arkansas,63,120,1.8,61.3
AR-063,Independence County,Arkansas,60.7,122,1.9,58.8
AR-065,Izard County,Arkansas,59.5,122,2,57.5
AR-067,Jackson County,Arkansas,61.4,120,1.8,59.6
AR-069,Jefferson County,Arkansas,64.3,124,2.1,62.2
AR-071,Johnson County,Arkansas,60.9,125,2.3,58.6
AR-073,Lafayette County,Arkansas,65.7,124,2.2,63.5
AR-075,Lawrence County,Arkansas,60.6,122,1.9,58.7
AR-077,Lee County,Arkansas,64.1,126,2.6,61.6
AR-079,Lincoln County,Arkansas,65,126,2.6,62.4
AR-081,Little River County,Arkansas,65,124,2.4,62.6
AR-083,Logan County,Arkansas,62.4,125,2.3,60.2
AR-085,Lonoke County,Arkansas,63.3,121,1.8,61.6
AR-087,Madison County,Arkansas,59,126,2.5,56.5
